²¨³¤(nm),30min
398.111559,1.253829
398.380941,1.270204
398.65031,1.287745
398.919665,1.304081
399.189008,1.31792
399.458338,1.33421
399.727655,1.352913
399.996958,1.368957
400.266249,1.38342
400.535526,1.398857
400.804791,1.413119
401.074042,1.425368
401.34328,1.43831
401.612506,1.454473
401.881717,1.471027
402.150916,1.487034
402.420102,1.500627
402.689274,1.515931
402.958434,1.527186
403.22758,1.539904
403.496713,1.554829
403.765832,1.568429
404.034939,1.582976
404.304032,1.598062
404.573112,1.611779
404.842178,1.625898
405.111231,1.638649
405.380271,1.652441
405.649298,1.66773
405.918311,1.685991
406.187311,1.699988
406.456298,1.712485
406.725271,1.723901
406.99423,1.73754
407.263177,1.751233
407.53211,1.765185
407.801029,1.780438
408.069935,1.791597
408.338827,1.805714
408.607706,1.82139
408.876572,1.837926
409.145424,1.852327
409.414262,1.866281
409.683087,1.880174
409.951899,1.895212
410.220697,1.914043
410.489481,1.928966
410.758251,1.942954
411.027008,1.957618
411.295752,1.97143
411.564482,1.985307
411.833198,2.002572
412.1019,2.020424
412.370589,2.033405
412.639264,2.048155
412.907925,2.06244
413.176573,2.076818
413.445207,2.089495
413.713827,2.10199
413.982433,2.115437
414.251026,2.129215
414.519605,2.140844
414.78817,2.151841
415.056721,2.161982
415.325258,2.178362
415.593782,2.19027
415.862291,2.20308
416.130787,2.216264
416.399269,2.231272
416.667737,2.243794
416.936191,2.25903
417.204631,2.274967
417.473058,2.287746
417.74147,2.302215
418.009868,2.317638
418.278252,2.335373
418.546623,2.351374
418.814979,2.36834
419.083321,2.385342
419.351649,2.402936
419.619963,2.420164
419.888264,2.434466
420.15655,2.448598
420.424821,2.460349
420.693079,2.476849
420.961323,2.493584
421.229552,2.511512
421.497768,2.528249
421.765969,2.54445
422.034156,2.559929
422.302329,2.57621
422.570488,2.590211
422.838632,2.606372
423.106762,2.6207
423.374878,2.636403
423.64298,2.652393
423.911067,2.664571
424.17914,2.679671
424.447199,2.696141
424.715244,2.711642
424.983274,2.727533
425.25129,2.742996
425.519291,2.756546
425.787278,2.767125
426.055251,2.78097
426.323209,2.792778
426.591153,2.805065
426.859082,2.816519
427.126997,2.832132
427.394898,2.848233
427.662784,2.862944
427.930655,2.875774
428.198512,2.889786
428.466355,2.906927
428.734183,2.925982
429.001997,2.94904
429.269796,2.971961
429.53758,2.990303
429.80535,3.00808
430.073105,3.02598
430.340845,3.044662
430.608571,3.067321
430.876283,3.090488
431.143979,3.110094
431.411661,3.131873
431.679329,3.14698
431.946981,3.162341
432.214619,3.181306
432.482243,3.19734
432.749851,3.213575
433.017445,3.230464
433.285024,3.247806
433.552588,3.261683
433.820137,3.276029
434.087672,3.292816
434.355192,3.30846
434.622697,3.323572
434.890187,3.343887
435.157662,3.361817
435.425122,3.375517
435.692568,3.38957
435.959998,3.405068
436.227414,3.421207
436.494815,3.441028
436.7622,3.45658
437.029571,3.472995
437.296927,3.490821
437.564268,3.500653
437.831594,3.514468
438.098905,3.528925
438.366201,3.547439
438.633481,3.566275
438.900747,3.588987
439.167998,3.610583
439.435233,3.633728
439.702454,3.654348
439.969659,3.675399
440.236849,3.696109
440.504025,3.714992
440.771185,3.731235
441.038329,3.750095
441.305459,3.772354
441.572573,3.798608
441.839673,3.818833
442.106757,3.832665
442.373825,3.84463
442.640879,3.857183
442.907917,3.873374
443.17494,3.894331
443.441948,3.915436
443.70894,3.936512
443.975917,3.95551
444.242879,3.976288
444.509825,3.999317
444.776757,4.022396
445.043672,4.040581
445.310572,4.061118
445.577457,4.080761
445.844327,4.097996
446.111181,4.113389
446.378019,4.131084
446.644843,4.148615
446.91165,4.169109
447.178442,4.184993
447.445219,4.202554
447.71198,4.223887
447.978726,4.242695
448.245456,4.258778
448.51217,4.276428
448.778869,4.295362
449.045553,4.309221
449.312221,4.325363
449.578873,4.34239
449.845509,4.364627
450.11213,4.389596
450.378736,4.41428
450.645325,4.439502
450.911899,4.465289
451.178457,4.485259
451.445,4.510055
451.711527,4.534603
451.978038,4.562577
452.244533,4.58677
452.511013,4.6076
452.777477,4.628299
453.043925,4.650038
453.310357,4.671294
453.576773,4.695161
453.843174,4.718563
454.109558,4.743905
454.375927,4.764831
454.64228,4.783744
454.908617,4.80187
455.174939,4.825218
455.441244,4.843798
455.707533,4.864823
455.973807,4.884424
456.240064,4.902893
456.506305,4.921527
456.772531,4.94881
457.03874,4.970951
457.304934,4.993808
457.571111,5.011529
457.837273,5.030863
458.103418,5.055469
458.369547,5.078768
458.635661,5.102934
458.901758,5.125647
459.167839,5.152522
459.433904,5.179541
459.699952,5.206651
459.965985,5.231229
460.232001,5.256394
460.498002,5.279051
460.763986,5.308684
461.029954,5.338595
461.295905,5.367585
461.561841,5.392507
461.82776,5.415275
462.093663,5.442448
462.359549,5.469466
462.62542,5.493661
462.891274,5.517811
463.157111,5.543175
463.422933,5.569088
463.688738,5.588924
463.954526,5.613687
464.220299,5.636414
464.486055,5.658405
464.751794,5.683868
465.017517,5.711267
465.283224,5.736027
465.548914,5.760388
465.814588,5.780172
466.080245,5.804547
466.345886,5.82566
466.61151,5.850192
466.877118,5.877532
467.142709,5.901899
467.408284,5.928799
467.673842,5.955795
467.939384,5.980307
468.204909,6.009724
468.470417,6.041185
468.735909,6.074124
469.001384,6.10351
469.266843,6.12997
469.532285,6.157146
469.79771,6.182196
470.063119,6.210097
470.328511,6.238954
470.593886,6.26947
470.859244,6.301059
471.124586,6.332342
471.389911,6.355369
471.655219,6.37856
471.920511,6.412342
472.185785,6.438094
472.451043,6.460547
472.716284,6.480383
472.981508,6.502591
473.246716,6.524195
473.511906,6.545626
473.77708,6.569371
474.042237,6.596787
474.307376,6.619136
474.572499,6.646623
474.837605,6.674301
475.102694,6.696713
475.367766,6.725271
475.632822,6.748748
475.89786,6.772602
476.162881,6.799447
476.427885,6.825865
476.692872,6.851908
476.957842,6.876192
477.222795,6.906458
477.487731,6.929857
477.75265,6.952677
478.017552,6.979617
478.282437,7.012481
478.547304,7.045018
478.812154,7.077519
479.076988,7.108094
479.341804,7.14075
479.606603,7.168015
479.871384,7.193305
480.136149,7.218005
480.400896,7.247843
480.665626,7.275756
480.930339,7.302422
481.195035,7.330133
481.459713,7.363999
481.724374,7.39356
481.989018,7.424363
482.253644,7.459295
482.518253,7.485198
482.782845,7.511439
483.047419,7.539682
483.311976,7.568427
483.576516,7.598212
483.841038,7.617338
484.105543,7.639793
484.37003,7.67081
484.6345,7.701406
484.898952,7.732376
485.163387,7.763596
485.427805,7.804357
485.692205,7.837688
485.956587,7.86799
486.220952,7.897559
486.4853,7.926148
486.749629,7.955922
487.013942,7.984902
487.278236,8.011083
487.542514,8.041875
487.806773,8.067724
488.071015,8.096437
488.335239,8.126687
488.599446,8.159573
488.863635,8.192817
489.127806,8.225126
489.39196,8.254456
489.656095,8.282223
489.920214,8.311292
490.184314,8.340592
490.448397,8.371556
490.712462,8.393095
490.976509,8.419355
491.240538,8.450628
491.50455,8.486316
491.768543,8.521844
492.032519,8.551531
492.296477,8.581406
492.560417,8.613502
492.82434,8.644831
493.088244,8.679235
493.352131,8.712821
493.615999,8.740952
493.87985,8.772
494.143683,8.79864
494.407497,8.825429
494.671294,8.850285
494.935073,8.881336
495.198834,8.91964
495.462577,8.957308
495.726302,8.990439
495.990008,9.017744
496.253697,9.049314
496.517368,9.083057
496.78102,9.111191
497.044655,9.138604
497.308271,9.169542
497.571869,9.198027
497.835449,9.223018
498.099011,9.253923
498.362555,9.285536
498.626081,9.315146
498.889588,9.349996
499.153077,9.386781
499.416548,9.424238
499.680001,9.457552
499.943436,9.487169
