²¨³¤(nm),242min
398.111559,1.282062
398.380941,1.298576
398.65031,1.317777
398.919665,1.334255
399.189008,1.34874
399.458338,1.364982
399.727655,1.38441
399.996958,1.399638
400.266249,1.414001
400.535526,1.42933
400.804791,1.443462
401.074042,1.456995
401.34328,1.471942
401.612506,1.488
401.881717,1.505865
402.150916,1.521765
402.420102,1.534491
402.689274,1.550368
402.958434,1.561387
403.22758,1.574603
403.496713,1.58935
403.765832,1.604168
404.034939,1.618533
404.304032,1.634119
404.573112,1.649704
404.842178,1.663616
405.111231,1.676134
405.380271,1.688363
405.649298,1.705498
405.918311,1.722327
406.187311,1.738131
406.456298,1.75038
406.725271,1.762181
406.99423,1.774948
407.263177,1.791034
407.53211,1.804795
407.801029,1.821134
408.069935,1.833291
408.338827,1.849096
408.607706,1.865845
408.876572,1.883453
409.145424,1.897627
409.414262,1.911965
409.683087,1.926241
409.951899,1.941079
410.220697,1.959151
410.489481,1.97631
410.758251,1.990653
411.027008,2.006303
411.295752,2.021075
411.564482,2.038304
411.833198,2.054193
412.1019,2.072503
412.370589,2.085831
412.639264,2.101545
412.907925,2.116177
413.176573,2.130905
413.445207,2.144497
413.713827,2.156714
413.982433,2.169326
414.251026,2.182903
414.519605,2.194863
414.78817,2.206132
415.056721,2.217692
415.325258,2.233944
415.593782,2.24676
415.862291,2.259955
416.130787,2.273519
416.399269,2.28783
416.667737,2.300166
416.936191,2.314707
417.204631,2.330547
417.473058,2.344281
417.74147,2.358633
418.009868,2.37562
418.278252,2.392226
418.546623,2.409816
418.814979,2.428969
419.083321,2.447022
419.351649,2.464606
419.619963,2.481814
419.888264,2.49823
420.15655,2.512806
420.424821,2.524966
420.693079,2.540901
420.961323,2.558733
421.229552,2.575589
421.497768,2.592324
421.765969,2.609609
422.034156,2.627282
422.302329,2.642489
422.570488,2.656474
422.838632,2.673244
423.106762,2.688664
423.374878,2.705495
423.64298,2.720431
423.911067,2.734247
424.17914,2.7494
424.447199,2.765427
424.715244,2.779911
424.983274,2.797034
425.25129,2.813175
425.519291,2.825707
425.787278,2.83574
426.055251,2.850769
426.323209,2.863203
426.591153,2.87723
426.859082,2.889854
427.126997,2.905686
427.394898,2.921421
427.662784,2.935754
427.930655,2.950954
428.198512,2.964599
428.466355,2.981435
428.734183,3.000257
429.001997,3.023204
429.269796,3.048851
429.53758,3.067535
429.80535,3.086226
430.073105,3.104487
430.340845,3.124708
430.608571,3.147287
430.876283,3.171524
431.143979,3.193353
431.411661,3.214994
431.679329,3.23047
431.946981,3.246758
432.214619,3.266149
432.482243,3.28253
432.749851,3.299756
433.017445,3.319521
433.285024,3.337257
433.552588,3.352729
433.820137,3.368659
434.087672,3.386471
434.355192,3.403112
434.622697,3.418567
434.890187,3.437436
435.157662,3.455779
435.425122,3.469141
435.692568,3.482191
435.959998,3.499901
436.227414,3.516365
436.494815,3.537913
436.7622,3.553096
437.029571,3.568499
437.296927,3.58466
437.564268,3.59523
