#{"t_start": 1764313774.8809488, "env_id": "FlappyBird-v0"}
r,l,t
-8.1,50,0.005809
-8.1,50,0.007313
-8.7,50,0.008803
-8.1,50,0.010261
-8.7,50,0.011781
-8.1,50,0.013206
-8.7,50,0.014654
-8.1,50,0.016094
-3.3,50,0.017742
-5.1,50,0.019158
-8.1,50,0.020603
-6.3,50,0.022032
-6.9,50,0.023496
-8.1,50,0.024903
-8.7,50,0.026316
-8.1,50,0.027709
-8.1,50,0.029172
-8.1,50,0.03061
-6.3,50,0.032084
-8.1,50,0.033525
-9.3,50,0.070397
0.3,50,0.089021
-6.9,50,0.111956
-9.3,50,0.135311
-6.9,50,0.160076
4.8,59,0.187996
2.4,35,0.20308
-0.9,50,0.228482
2.0,31,0.247421
3.9,50,0.271497
3.9,50,0.291407
4.2,53,0.310597
3.9,50,0.332364
-9.3,50,0.354308
3.9,50,0.372704
6.2,64,0.396684
3.9,50,0.415431
-9.3,50,0.433496
-9.3,50,0.451928
3.9,50,0.469715
3.9,50,0.489065
8.2,84,0.520187
3.9,50,0.54133
3.9,50,0.563323
3.9,50,0.582918
-9.3,50,0.605303
-9.3,50,0.626724
3.9,50,0.647318
3.9,50,0.665169
-9.3,50,0.684005
6.1,63,0.707156
4.5,56,0.727521
3.9,50,0.745534
6.3,65,0.769076
0.3,50,0.787522
4.5,56,0.808001
8.4,86,0.838854
-0.9,50,0.857725
4.6,57,0.877917
4.9,60,0.89965
3.9,50,0.918431
4.7,58,0.939188
3.9,50,0.957962
3.9,50,0.975675
6.4,66,1.000865
3.9,50,1.018734
6.6,68,1.043795
8.4,86,1.076082
5.0,61,1.098586
8.4,86,1.12996
12.9,122,1.175599
3.9,50,1.193687
3.9,50,1.212638
4.1,52,1.232432
3.9,50,1.250644
3.9,50,1.269573
3.9,50,1.287702
3.9,50,1.306467
4.5,56,1.327305
8.4,86,1.358691
3.9,50,1.377687
3.9,50,1.395506
4.5,56,1.416094
3.9,50,1.435164
3.9,50,1.45314
3.9,50,1.472489
3.9,50,1.490961
3.9,50,1.510184
3.9,50,1.528391
3.9,50,1.547584
3.9,50,1.565681
4.4,55,1.585991
6.2,64,1.613673
3.9,50,1.633152
3.9,50,1.650972
4.0,51,1.670316
3.9,50,1.689398
4.3,54,1.711849
8.4,86,1.743466
8.4,86,1.775938
3.9,50,1.79403
4.6,57,1.815994
8.4,86,1.848035
3.9,50,1.866791
3.9,50,1.885883
3.9,50,1.905488
3.9,50,1.923765
3.9,50,1.943084
8.4,86,1.974944
4.0,51,1.995723
3.9,50,2.01437
3.9,50,2.034343
4.3,54,2.054436
3.9,50,2.073569
6.6,68,2.098657
5.0,61,2.120592
3.9,50,2.139623
3.9,50,2.159264
4.8,59,2.181494
3.9,50,2.200929
3.9,50,2.223567
6.6,68,2.249028
3.9,50,2.26721
3.9,50,2.286849
3.9,50,2.306259
8.4,86,2.347585
1.5,50,2.37501
3.9,50,2.401096
3.9,50,2.420794
4.2,53,2.441568
3.9,50,2.459409
6.4,66,2.484391
3.9,50,2.502472
4.5,56,2.523299
4.4,55,2.544084
3.9,50,2.561937
3.9,50,2.580894
3.9,50,2.598896
3.9,50,2.618124
4.5,56,2.638912
-0.9,50,2.656872
3.9,50,2.675864
6.5,67,2.700784
3.9,50,2.718939
12.9,122,2.765578
8.4,86,2.796631
8.8,90,2.830254
4.6,57,2.851003
4.6,57,2.871943
6.6,68,2.896953
3.9,50,2.915875
4.3,54,2.935377
3.9,50,2.954329
4.9,60,2.97621
3.9,50,2.994247
3.9,50,3.013366
3.9,50,3.031571
3.9,50,3.050412
3.9,50,3.068577
3.9,50,3.08725
4.8,59,3.108351
3.9,50,3.127102
4.3,54,3.147021
3.9,50,3.165704
3.9,50,3.183815
8.4,86,3.215722
4.1,52,3.234737
3.9,50,3.252625
6.0,62,3.276042
3.9,50,3.294975
3.9,50,3.314135
3.9,50,3.331989
4.4,55,3.352699
3.9,50,3.371882
3.9,50,3.389904
8.4,86,3.421584
3.9,50,3.43954
3.9,50,3.458262
3.9,50,3.476135
3.9,50,3.495088
8.9,91,3.529498
4.6,57,3.551781
3.9,50,3.569877
3.9,50,3.589036
4.1,52,3.608592
3.9,50,3.626551
4.6,57,3.647768
6.1,63,3.675658
8.8,90,3.709454
8.4,86,3.740549
6.4,66,3.764988
3.9,50,3.78274
3.9,50,3.80153
4.2,53,3.82034
