#{"t_start": 1764994927.865907, "env_id": "FlappyBird-v0"}
r,l,t
3.9,50,0.015076
60.3,506,0.146503
3.9,50,0.159679
18.5,169,0.203832
-0.9,50,0.216901
8.4,86,0.239527
3.9,50,0.252662
3.9,50,0.265677
9.1,93,0.290082
4.7,58,0.305306
11.0,103,0.33202
29.4,251,0.397237
3.9,50,0.410222
3.9,50,0.423216
13.8,131,0.457349
6.8,70,0.475601
3.9,50,0.488611
18.1,165,0.531668
32.2,279,1.05798
18.3,167,1.102884
36.4,312,1.186489
4.5,56,1.20117
13.6,129,1.23457
8.4,86,1.256966
3.9,50,1.269926
71.8,594,1.423055
18.0,164,1.465127
46.2,392,2.015184
83.9,697,2.20245
3.9,50,2.215554
25.2,218,2.272596
12.9,122,2.304439
69.2,577,2.453424
12.9,122,2.48491
45.9,389,3.035665
13.9,132,3.071609
46.0,390,3.178068
22.5,200,3.231288
32.0,277,3.304447
32.6,283,3.379128
31.9,276,3.451669
90.1,741,4.100513
36.5,313,4.185338
22.4,199,4.238095
148.4,1216,5.004305
40.9,348,5.098212
14.0,133,5.134148
4.2,53,5.149206
26.9,235,5.21166
13.4,127,5.245395
320.9,2608,6.387805
3.9,50,6.401025
26.9,235,6.462604
46.3,393,7.024068
-0.9,50,7.037785
51.0,431,7.155162
78.4,651,7.327049
3.9,50,7.340308
18.6,170,7.385361
158.4,1298,8.191943
68.9,574,8.344181
120.4,990,9.059805
96.9,800,9.275528
13.8,131,9.310389
37.0,318,9.394597
68.9,574,10.003914
68.9,574,10.161088
8.4,86,10.184295
26.9,235,10.247291
12.9,122,10.279876
4.2,53,10.294054
22.4,199,10.348738
26.9,235,10.411395
83.2,690,11.076859
22.4,199,11.13096
26.9,235,11.19504
12.9,122,11.227215
106.4,877,11.455539
12.9,122,11.487216
36.4,312,12.021409
124.9,1026,12.296647
64.4,538,12.437159
25.3,219,12.494136
146.8,1200,13.290887
40.9,348,13.387692
155.8,1272,14.204006
118.8,974,14.464462
18.0,164,14.50812
6.8,70,14.526678
69.1,576,15.161392
4.0,51,15.175816
36.4,312,15.261543
69.4,579,15.415726
67.2,557,15.562847
53.3,445,16.149328
137.2,1122,16.451575
166.9,1365,17.27725
110.9,913,17.520237
292.9,2382,18.616436
3.9,50,18.629645
54.9,461,19.213256
110.9,913,19.455349
20.8,183,19.503143
3.9,50,19.516176
13.2,125,19.548936
3.9,50,19.56204
12.9,122,19.593809
69.2,577,20.230655
8.7,89,20.255142
79.5,662,20.432975
3.9,50,20.4463
27.4,240,20.509777
6.7,69,20.528043
68.9,574,21.130909
64.8,542,21.28037
101.9,841,21.507385
53.3,445,21.625796
275.3,2242,23.147525
9.5,97,23.174554
4.0,51,23.1886
4.8,59,23.204854
3.9,50,23.218628
4.6,57,23.23603
9.1,93,23.261675
6.8,70,23.28439
3.9,50,23.299378
4.8,59,23.315692
8.4,86,23.340302
9.3,95,23.366323
3.9,50,23.379935
4.6,57,23.395338
3.9,50,23.408746
9.2,94,23.433978
3.9,50,23.447427
3.9,50,23.460906
9.2,94,23.48597
4.5,56,23.500972
8.9,91,23.525317
9.3,95,23.550845
3.9,50,23.564126
4.6,57,23.579353
6.7,69,23.597708
12.9,122,23.630304
4.4,55,23.644965
9.1,93,23.669803
4.6,57,23.684934
4.7,58,24.15875
4.5,56,24.174102
4.6,57,24.189662
4.9,60,24.205868
9.2,94,24.231047
4.8,59,24.246888
4.2,53,24.261055
11.2,105,24.289124
4.8,59,24.304932
4.6,57,24.322194
8.9,91,24.347148
6.0,62,24.363837
8.8,90,24.387568
3.9,50,24.400723
3.9,50,24.41389
6.0,62,24.430198
3.9,50,24.443759
6.8,70,24.462255
4.5,56,24.477108
4.4,55,24.491644
4.4,55,24.506125
3.9,50,24.519245
5.0,61,24.535173
4.8,59,24.550632
3.9,50,24.56363
6.8,70,24.581942
4.4,55,24.596257
8.4,86,24.618721
4.8,59,24.634127
6.8,70,24.652308
4.8,59,24.667675
8.6,88,24.690677
4.5,56,25.157317
4.2,53,25.17353
6.5,67,25.192183
4.4,55,25.209882
8.9,91,25.235178
8.4,86,25.258713
8.9,91,25.28345
15.0,134,25.319994
4.5,56,25.335378
3.9,50,25.349033
4.4,55,25.364156
4.2,53,25.37825
12.9,122,25.410341
5.0,61,25.426483
12.9,122,25.458483
8.4,86,25.480995
9.4,96,25.506122
9.3,95,25.530908
9.2,94,25.555547
4.4,55,25.569946
6.0,62,25.586085
6.8,70,25.604278
3.9,50,25.617338
10.5,98,25.642797
4.7,58,25.657946
9.1,93,25.682202
5.0,61,25.698099
4.5,56,26.164052
4.4,55,26.179393
9.5,97,26.208857
4.9,60,26.22518
3.9,50,26.238777
4.7,58,26.254455
3.9,50,26.268015
4.3,54,26.282561
9.4,96,26.308248
6.4,66,26.325973
4.0,51,26.339787
3.9,50,26.353183
4.1,52,26.367102
8.4,86,26.389771
10.5,98,26.415482
14.0,133,26.450359
8.4,86,26.472865
4.9,60,26.488543
9.2,94,26.513133
9.3,95,26.537858
8.4,86,26.560316
4.5,56,26.574915
6.8,70,26.593137
12.9,122,26.624887
4.6,57,26.639758
8.4,86,26.662104
15.0,134,26.696949
9.4,96,27.190482
9.1,93,27.21603
9.0,92,27.241211
3.9,50,27.254883
4.9,60,27.271339
3.9,50,27.284982
6.4,66,27.303026
10.5,98,27.32987
4.0,51,27.343842
3.9,50,27.357516
6.3,65,27.375943
3.9,50,27.389188
9.1,93,27.41359
8.4,86,27.436168
4.9,60,27.45189
3.9,50,27.465042
3.9,50,27.478191
3.9,50,27.491282
10.5,98,27.516971
6.5,67,27.534424
3.9,50,27.54745
8.4,86,27.569849
9.3,95,27.594699
4.4,55,27.609042
3.9,50,27.622084
4.7,58,27.637147
3.9,50,27.650221
3.9,50,27.663256
3.9,50,27.676352
9.3,95,27.701029
3.9,50,28.166144
3.9,50,28.179884
3.9,50,28.193471
4.6,57,28.208971
6.8,70,28.227904
15.1,135,28.264526
10.6,99,28.291294
4.7,58,28.30712
3.9,50,28.320673
12.9,122,28.354301
4.8,59,28.370467
8.4,86,28.393918
5.0,61,28.41046
9.3,95,28.436086
13.6,129,28.470656
6.8,70,28.489294
4.6,57,28.50463
9.3,95,28.529978
9.3,95,28.555254
8.4,86,28.578216
12.9,122,28.610617
3.9,50,28.623955
3.9,50,28.63725
6.0,62,28.653779
18.9,173,28.699709
9.3,95,29.191071
22.4,199,29.245616
12.9,122,29.278944
3.9,50,29.292719
8.4,86,29.316334
15.1,135,29.35322
4.9,60,29.369649
10.5,98,29.396954
12.9,122,29.430281
3.9,50,29.443768
4.0,51,29.457423
4.6,57,29.472583
12.9,122,29.504635
4.8,59,29.520288
4.5,56,29.535445
4.9,60,29.551431
4.9,60,29.567224
9.5,97,29.592697
4.0,51,29.606092
4.5,56,29.620731
4.3,54,29.634874
12.9,122,29.666871
9.2,94,29.691433
4.5,56,29.706114
4.6,57,29.720978
14.0,133,30.348092
8.4,86,30.373923
8.4,86,30.400191
10.5,98,30.428686
4.8,59,30.444712
6.1,63,30.461717
18.7,171,30.508442
4.8,59,30.524735
9.5,97,30.551619
4.8,59,30.567948
4.6,57,30.583896
4.5,56,30.599417
5.0,61,30.616042
3.9,50,30.629922
9.3,95,30.655654
18.9,173,30.702091
4.5,56,30.717191
4.0,51,30.730773
8.4,86,30.753749
6.1,63,30.770576
10.5,98,30.796271
3.9,50,30.809312
18.8,172,30.854712
3.9,50,30.867852
6.6,68,31.352156
12.9,122,31.385757
3.9,50,31.399463
3.9,50,31.413139
4.5,56,31.428391
8.4,86,31.452015
4.9,60,31.469487
15.3,137,31.513544
10.5,98,31.560037
8.4,86,31.596746
9.4,96,31.635887
6.8,70,31.664049
4.8,59,31.687244
19.0,174,31.739267
3.9,50,31.75287
3.9,50,31.767719
10.5,98,31.79511
8.4,86,31.818761
3.9,50,31.832263
3.9,50,31.845595
4.9,60,31.861717
12.9,122,31.894782
3.9,50,31.908106
3.9,50,31.921233
6.7,69,31.93944
3.9,50,31.952661
4.9,60,31.968389
3.9,50,31.981607
3.9,50,32.607326
9.2,94,32.640096
3.9,50,32.657488
3.9,50,32.674646
10.6,99,32.708778
4.9,60,32.726778
3.9,50,32.740663
6.7,69,32.759808
6.8,70,32.77926
3.9,50,32.793913
29.2,249,32.861797
8.4,86,32.884902
3.9,50,32.898417
4.8,59,32.914207
3.9,50,32.92768
6.7,69,32.94614
3.9,50,32.959654
13.4,127,32.993648
4.9,60,33.009744
6.0,62,33.026378
5.0,61,33.042685
3.9,50,33.055986
8.8,90,33.080058
3.9,50,33.093343
8.8,90,33.117387
3.9,50,33.130746
3.9,50,33.14408
8.4,86,33.167003
3.9,50,33.69694
6.1,63,33.728096
13.2,125,33.778566
40.9,348,33.876076
32.2,279,33.953894
4.5,56,33.9693
6.1,63,33.987062
3.9,50,34.001768
3.9,50,34.015893
6.0,62,34.033116
13.4,127,34.0679
40.9,348,34.160318
12.9,122,34.193324
4.9,60,34.209506
3.9,50,34.222805
17.9,163,34.265733
17.9,163,34.945183
9.0,92,34.976537
3.9,50,34.994657
6.8,70,35.014454
8.4,86,35.038383
11.2,105,35.067363
12.9,122,35.101125
27.4,240,35.169846
47.1,401,35.277265
3.9,50,35.290682
3.9,50,35.304486
13.5,128,35.339031
12.9,122,35.371766
8.9,91,35.395956
3.9,50,35.409155
54.9,461,36.111468
45.9,389,36.23661
99.5,817,36.45924
13.9,132,36.494797
3.9,50,36.50834
73.9,615,37.536925
40.9,348,37.636987
34.2,290,37.717951
22.4,199,37.77256
3.9,50,37.786179
40.9,348,37.879717
32.0,277,37.953773
12.9,122,37.986239
4.1,52,38.000082
8.4,86,38.022992
12.9,122,38.056079
32.5,282,38.651258
20.4,179,38.704667
11.3,106,38.733777
8.4,86,38.758148
11.3,106,38.786973
26.9,235,38.853555
8.4,86,38.882445
48.7,408,39.038121
11.3,106,39.077487
12.9,122,39.113518
17.9,163,39.157314
40.9,348,39.704023
4.1,52,39.71804
6.0,62,39.734796
10.7,100,39.761856
22.7,202,39.826619
11.0,103,39.908725
6.8,70,39.958852
50.4,425,40.226621
23.1,206,40.285549
15.3,137,40.32349
6.1,63,40.340963
12.9,122,40.375348
32.9,286,40.455031
8.4,86,40.941387
3.9,50,40.954999
3.9,50,40.968523
3.9,50,40.982124
3.9,50,40.995964
3.9,50,41.010179
3.9,50,41.023997
3.9,50,41.037792
3.9,50,41.051462
3.9,50,41.064998
3.9,50,41.079434
3.9,50,41.094788
3.9,50,41.108698
3.9,50,41.122515
3.9,50,41.1366
3.9,50,41.15026
3.9,50,41.163747
3.9,50,41.177307
3.9,50,41.19086
3.9,50,41.20438
3.9,50,41.217979
3.9,50,41.23133
3.9,50,41.244754
3.9,50,41.258153
3.9,50,41.271708
3.9,50,41.285372
3.9,50,41.299778
3.9,50,41.313582
3.9,50,41.327452
3.9,50,41.34321
3.9,50,41.361418
3.9,50,41.381638
3.9,50,41.403549
3.9,50,41.425546
3.9,50,41.447453
3.9,50,41.469617
3.9,50,41.490245
3.9,50,41.511077
3.9,50,41.530444
3.9,50,41.548063
3.9,50,41.56456
3.9,50,42.083666
5.0,61,42.100584
3.9,50,42.114429
6.3,65,42.132311
3.9,50,42.146062
3.9,50,42.159745
6.1,63,42.176936
5.0,61,42.193558
3.9,50,42.207202
3.9,50,42.220891
3.9,50,42.234642
3.9,50,42.248528
3.9,50,42.262234
3.9,50,42.276117
3.9,50,42.290138
3.9,50,42.303392
3.9,50,42.316559
3.9,50,42.329871
3.9,50,42.343082
6.1,63,42.359634
3.9,50,42.372959
3.9,50,42.38619
3.9,50,42.399344
3.9,50,42.412925
3.9,50,42.426346
3.9,50,42.439602
3.9,50,42.452836
3.9,50,42.466053
3.9,50,42.482629
3.9,50,42.51813
3.9,50,42.551313
3.9,50,42.604142
3.9,50,42.618039
45.9,389,43.218335
11.3,106,43.24715
6.3,65,43.264688
11.1,104,43.292828
11.3,106,43.321408
12.9,122,43.356743
15.6,140,43.397758
6.8,70,43.418007
6.6,68,43.436709
15.7,141,43.483335
15.8,142,43.547377
3.9,50,43.571207
6.8,70,43.60048
13.2,125,43.651077
11.2,105,43.687195
6.4,66,43.707175
11.3,106,43.736384
6.3,65,43.754035
3.9,50,43.767517
10.9,102,43.795
6.3,65,43.812598
6.3,65,43.830018
6.5,67,43.848073
6.4,66,44.326233
8.9,91,44.351065
11.0,103,44.379577
20.1,176,44.430553
29.7,254,44.500533
10.9,102,44.529326
6.7,69,44.549314
6.6,68,44.568433
6.3,65,44.586297
29.7,254,44.654378
11.0,103,44.681782
6.5,67,44.699523
6.5,67,44.717372
10.8,101,44.744353
6.4,66,44.7623
11.0,103,44.790158
6.3,65,44.807612
20.2,177,44.855002
6.7,69,45.533413
10.9,102,45.561734
6.8,70,45.581025
11.3,106,45.610388
11.1,104,45.639597
6.4,66,45.657665
6.4,66,45.675743
6.6,68,45.69437
10.8,101,45.722812
6.6,68,45.741694
29.6,253,45.810906
13.3,126,45.845089
6.6,68,45.863611
8.5,87,45.887094
6.4,66,45.904933
6.2,64,45.92228
6.4,66,45.94021
20.8,183,45.989694
11.3,106,46.018261
13.0,123,46.051366
13.2,125,46.087465
25.3,219,46.680272
15.7,141,46.71981
11.2,105,46.748479
11.0,103,46.776604
3.9,50,46.790402
6.3,65,46.808995
18.1,165,46.854947
25.3,219,46.913941
11.0,103,46.941593
6.6,68,46.959889
13.0,123,47.006831
13.7,130,47.098112
15.7,141,47.197506
8.4,86,47.265194
3.9,50,47.280217
6.4,66,47.299455
11.3,106,47.329894
6.6,68,47.349514
22.8,203,47.872039
3.9,50,47.885741
3.9,50,47.899594
3.9,50,47.913108
3.9,50,47.92653
3.9,50,47.940029
3.9,50,47.953887
3.9,50,47.967299
3.9,50,47.980917
3.9,50,47.994633
3.9,50,48.008122
3.9,50,48.021646
3.9,50,48.035415
3.9,50,48.04903
3.9,50,48.062526
3.9,50,48.07598
3.9,50,48.089489
3.9,50,48.102937
3.9,50,48.116419
3.9,50,48.129867
3.9,50,48.143427
3.9,50,48.157732
3.9,50,48.171232
3.9,50,48.184727
3.9,50,48.19809
3.9,50,48.215721
